Year,Location,Value,District
2002,Schwanthalerhöhe,"76,4",08
2002,Neuhausen - Nymphenburg,"72,3",09
2002,Moosach,"70,7",10
2002,Milbertshofen - Am Hart,"72,3",11
2002,Schwabing - Freimann,"74,1",12
2002,Bogenhausen,"71,9",13
2002,Berg am Laim,"70,9",14
2002,Trudering - Riem,"70,4",15
2002,Ramersdorf - Perlach,"69,9",16
2002,Obergiesing - Fasangarten,72,17
2002,Untergiesing - Harlaching,"69,8",18
2002,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"68,9",19
2002,Hadern,"67,8",20
2002,Pasing - Obermenzing,"69,2",21
2002,Aubing - Lochhausen - Langwied,"67,5",22
2002,Allach - Untermenzing,"67,3",23
2002,Feldmoching - Hasenbergl,"66,6",24
2002,Laim,"70,1",25
2001,Stadt München,"71,9",00
2001,Altstadt - Lehel,"76,7",01
2001,Ludwigsvorstadt - Isarvorstadt,"79,9",02
2001,Maxvorstadt,79,03
2001,Schwabing - West,75,04
2001,Au - Haidhausen,"75,1",05
2001,Sendling,"74,3",06
2001,Sendling - Westpark,"70,5",07
2001,Schwanthalerhöhe,"76,8",08
2001,Neuhausen - Nymphenburg,"72,4",09
2001,Moosach,"70,8",10
2001,Milbertshofen - Am Hart,"72,6",11
2001,Schwabing - Freimann,"73,9",12
2001,Bogenhausen,"72,2",13
2001,Berg am Laim,"71,2",14
2001,Trudering - Riem,"70,8",15
2001,Ramersdorf - Perlach,"70,3",16
2001,Obergiesing - Fasangarten,72,17
2001,Untergiesing - Harlaching,"70,1",18
2001,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"69,5",19
2001,Hadern,"68,3",20
2001,Pasing - Obermenzing,"69,5",21
2001,Aubing - Lochhausen - Langwied,68,22
2001,Allach - Untermenzing,"67,8",23
2001,Feldmoching - Hasenbergl,67,24
2001,Laim,"70,2",25
2000,Stadt München,72,00
2000,Altstadt - Lehel,"76,6",01
2000,Ludwigsvorstadt - Isarvorstadt,80,02
2000,Maxvorstadt,"78,8",03
2000,Schwabing - West,"74,9",04
2000,Au - Haidhausen,"75,1",05
2000,Sendling,"74,3",06
2000,Sendling - Westpark,"70,6",07
2000,Schwanthalerhöhe,"76,8",08
2000,Neuhausen - Nymphenburg,"72,3",09
2000,Moosach,"70,8",10
2000,Milbertshofen - Am Hart,"72,8",11
2000,Schwabing - Freimann,"73,6",12
2000,Bogenhausen,"72,4",13
2000,Berg am Laim,71,14
2000,Trudering - Riem,"71,2",15
2000,Ramersdorf - Perlach,"70,6",16
2000,Obergiesing - Fasangarten,72,17
2000,Untergiesing - Harlaching,"70,1",18
2000,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,70,19
2000,Hadern,"68,6",20
2000,Pasing - Obermenzing,"69,8",21
2000,Aubing - Lochhausen - Langwied,"68,5",22
2000,Allach - Untermenzing,"68,2",23
2000,Feldmoching - Hasenbergl,"67,6",24
2000,Laim,"70,3",25
